BIEN1002, 34, [s10004 s10009 s100018 s100020 s100025 s100032 s100052 s100058 s100064 s100066 s100067 s100070 s100076 s100085 s100090 s100094 s1000100 s1000103 s1000104 s1000116 s1000121 s1000131 s1000134 s1000150 s1000151 s1000156 s1000159 s1000165 s1000169 s1000173 s1000177 s1000178 s1000184 s1000191], [s100033 s100038 s100040 s100043 s100046 s100059 s100078 s100096 s1000101 s1000111 s1000146 s100013 s100024 s100031 s100054 s100079 s1000128 s1000153 s1000180 s1000182 s1000188 s1000199 s100073 s100080 s1000106 s1000124 s1000139 s1000158 s1000162 s1000189 s100014 s100089 s1000155 s1000164 s1000166]
PHYS3000, 10, [], []
PHYS2010, 10, [], []
PHYS3021, 10, [], []
ELEC3010, 35, [s10001 s10002 s100010 s100011 s100013 s100017 s100022 s100030 s100031 s100033 s100034 s100047 s100065 s100066 s100068 s100071 s100075 s100077 s100079 s100091 s100095 s1000101 s1000105 s1000108 s1000118 s1000119 s1000132 s1000138 s1000146 s1000150 s1000162 s1000165 s1000184 s1000191 s1000199], [s100026 s100089 s100090 s1000121 s1000134 s1000145 s1000149 s1000155 s1000158 s1000172 s1000176 s1000186 s1000192 s1000174 s100019 s100032 s100050 s100058 s100064 s100078 s100093 s1000100 s1000106 s1000110 s1000114 s1000164 s1000166 s1000167 s1000190 s100086 s10007 s10009 s100062 s100085 s1000113 s1000122 s1000183 s10004 s100039 s1000124 s1000151]
PHYS1001, 34, [s100011 s100015 s100016 s100017 s100019 s100027 s100038 s100041 s100046 s100049 s100067 s100073 s100074 s100086 s100096 s100099 s1000109 s1000110 s1000112 s1000117 s1000120 s1000122 s1000124 s1000140 s1000143 s1000144 s1000155 s1000159 s1000174 s1000182 s1000186 s1000188 s1000189 s1000190], [s10004 s100020 s100030 s100032 s100051 s100064 s100081 s100084 s100093 s100095 s1000106 s1000137 s1000148 s1000153 s1000164 s1000178 s1000191 s1000200 s100040 s100091 s1000113 s1000119 s1000138 s1000157 s1000192 s100010 s1000125 s100014 s100079 s100089 s100092 s1000116 s1000131 s1000151 s1000167 s1000197 s100054 s100083 s100024 s100080 s100090 s1000121 s1000134 s1000139 s1000165 s100075 s1000158]
ISDN1000, 10, [], []
ISDN2010, 38, [s10008 s100012 s100023 s100027 s100035 s100047 s100051 s100054 s100055 s100059 s100061 s100065 s100092 s100093 s100096 s100098 s1000104 s1000107 s1000114 s1000119 s1000129 s1000138 s1000141 s1000143 s1000147 s1000148 s1000156 s1000158 s1000163 s1000168 s1000172 s1000174 s1000180 s1000185 s1000188 s1000192 s1000194 s1000197], [s100087 s1000171 s10007 s100022 s100024 s100050 s100073 s100074 s100076 s100086 s100094 s1000103 s1000108 s1000125 s1000131 s1000151 s1000165 s1000198 s10002 s100017 s100018 s100038 s100052 s100083 s100085 s1000109 s1000121 s1000122 s1000139 s1000140 s1000152 s1000176 s1000184 s1000200 s1000149 s100020 s100032 s100091 s1000100 s1000101 s1000132 s1000134 s1000155 s1000164 s1000166 s1000182 s1000186 s1000199 s1000116 s1000153 s1000167 s1000189 s100040 s100078]
ISDN3000, 10, [], []
PPOL1001, 10, [], []
BIEN3000, 10, [], []
BIEN3021, 10, [], []
BIEN1000, 50, [s10003 s10004 s10007 s100014 s100021 s100022 s100031 s100032 s100035 s100040 s100043 s100049 s100050 s100051 s100055 s100059 s100062 s100063 s100068 s100070 s100073 s100078 s100081 s100082 s100083 s100087 s100090 s100094 s100098 s1000106 s1000113 s1000114 s1000116 s1000123 s1000129 s1000137 s1000139 s1000142 s1000151 s1000153 s1000157 s1000161 s1000166 s1000168 s1000176 s1000179 s1000180 s1000181 s1000192 s1000193], [s100011 s100017 s100037 s100041 s100061 s100075 s100080 s1000112 s1000117 s1000120 s1000122 s1000138 s1000140 s1000143 s1000162 s1000163 s1000167 s1000184 s1000188 s1000199 s10009 s100039 s100066 s1000111 s1000125 s1000132 s1000134 s1000145 s1000146 s1000155 s1000158 s1000171 s1000172 s1000183 s1000191 s1000195 s1000196 s100019 s100024 s100038 s100064 s100074 s100093 s100095 s1000108 s1000109 s1000121 s1000190 s1000200 s1000100]
BIEN2011, 10, [], []
PPOL3000, 10, [], []
SOSC2000, 10, [], []
PPOL2011, 32, [s10006 s100013 s100019 s100020 s100030 s100038 s100039 s100043 s100061 s100064 s100079 s100080 s100081 s100086 s100087 s1000108 s1000120 s1000121 s1000131 s1000133 s1000137 s1000140 s1000149 s1000152 s1000164 s1000170 s1000172 s1000177 s1000183 s1000187 s1000195 s1000199], [s10002 s10009 s100012 s100014 s100018 s100027 s100054 s100085 s1000116 s1000119 s1000139 s1000169 s1000180 s1000189 s1000196 s1000197 s10007 s100022 s100076 s100089 s100092 s1000101 s1000112 s1000124 s1000159 s1000162 s1000186 s10004 s100037 s100040 s100050 s100066 s100075 s100090 s1000104 s1000148 s1000165 s1000192 s100078 s1000145 s1000200 s1000151]
PPOL2010, 10, [], []
PPOL3021, 10, [], []
COMP1002, 10, [], []
ELEC3021, 10, [], []
SOSC3000, 10, [], []
MATH2010, 10, [], []
MECH2010, 10, [], []
COMP2010, 10, [], []
MECH3021, 10, [], []
MATH2011, 10, [], []
